type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,48.272710000,8.849130000,526.1,4.1,3.890,62.60,,
T,48.272900000,8.849200000,525.4,-3.0,3.912,21.76,,
T,48.273290000,8.849390000,523.5,-4.2,3.958,45.60,,
T,48.273450000,8.849460000,521.2,-12.3,3.976,18.53,,
T,48.273450000,8.849470000,521.2,-7.7,3.977,0.74,,
T,48.273450000,8.849480000,521.1,-7.7,3.978,0.74,,
T,48.273450000,8.849490000,521.1,-7.7,3.978,0.74,,
T,48.273450000,8.849500000,521.0,-7.7,3.979,0.74,,
T,48.273450000,8.849510000,520.9,-7.7,3.980,0.74,,
T,48.273450000,8.849520000,520.9,-7.7,3.981,0.74,,
T,48.273450000,8.849530000,520.8,-7.7,3.981,0.74,,
T,48.273450000,8.849540000,520.8,-7.7,3.982,0.74,,
T,48.273460000,8.849540000,520.6,-11.8,3.983,1.11,,
T,48.273460000,8.849550000,520.6,-7.5,3.984,0.74,,
T,48.273460000,8.849560000,520.5,-7.4,3.985,0.74,,
T,48.273470000,8.849570000,520.4,-13.8,3.986,1.34,,
T,48.273470000,8.849580000,520.3,-7.3,3.987,0.74,,
T,48.273480000,8.849580000,520.2,-11.3,3.988,1.11,,
T,48.273480000,8.849590000,520.1,-7.1,3.989,0.74,,
T,48.273490000,8.849590000,520.0,-11.2,3.990,1.11,,
T,48.273500000,8.849590000,519.9,-11.3,3.991,1.11,,
T,48.273500000,8.849600000,519.8,-6.7,3.992,0.74,,
T,48.273510000,8.849600000,519.7,-11.2,3.993,1.11,,
T,48.273520000,8.849600000,519.6,-11.2,3.994,1.11,,
T,48.273530000,8.849590000,519.5,-5.8,3.995,1.34,,
T,48.273540000,8.849590000,519.4,-11.2,3.996,1.11,,
T,48.273550000,8.849580000,519.3,-6.1,3.998,1.34,,
T,48.273560000,8.849580000,519.2,-11.4,3.999,1.11,,
T,48.273560000,8.849570000,519.2,5.8,3.999,0.74,,
T,48.273560000,8.849560000,519.2,5.7,4.000,0.74,,
T,48.273570000,8.849560000,519.1,-11.6,4.001,1.11,,
T,48.273570000,8.849550000,519.2,5.7,4.002,0.74,,
T,48.273570000,8.849540000,519.2,5.5,4.003,0.74,,
T,48.273580000,8.849540000,519.1,-11.9,4.004,1.11,,
T,48.273580000,8.849530000,519.1,5.5,4.005,0.74,,
T,48.273670000,8.849610000,518.3,-6.8,4.016,11.64,,
T,48.274020000,8.849910000,518.0,-0.7,4.061,44.84,,
T,48.274520000,8.850290000,516.7,-2.1,4.123,62.34,,
T,48.274730000,8.850380000,515.6,-4.6,4.148,24.29,,
T,48.274780000,8.850400000,515.4,-4.4,4.154,5.75,,
T,48.274870000,8.850440000,514.9,-4.5,4.164,10.44,,
T,48.275060000,8.850510000,514.1,-3.5,4.186,21.76,,
T,48.275270000,8.850540000,514.0,-0.5,4.209,23.46,,
T,48.275480000,8.850590000,514.0,-0.2,4.233,23.64,,
T,48.275610000,8.850670000,514.0,0.2,4.248,15.63,,
T,48.275890000,8.851030000,514.2,0.5,4.289,41.03,,
T,48.275920000,8.851150000,514.4,2.1,4.299,9.51,,
T,48.275920000,8.851190000,514.5,3.3,4.302,2.97,,
T,48.275920000,8.851200000,514.5,3.4,4.303,0.74,,
T,48.275930000,8.851270000,514.7,3.6,4.308,5.31,,
T,48.275930000,8.851270000,514.7,,4.308,0.00,,
T,48.275910000,8.851300000,514.8,1.5,4.311,3.15,,
T,48.275900000,8.851330000,514.8,2.9,4.314,2.49,,
T,48.275900000,8.851370000,514.9,3.7,4.317,2.97,,
T,48.275910000,8.851420000,515.1,3.4,4.320,3.87,,
T,48.275910000,8.851430000,515.1,3.5,4.321,0.74,,
T,48.275920000,8.851450000,515.2,2.4,4.323,1.85,,
T,48.275930000,8.851470000,515.2,2.1,4.325,1.85,,
T,48.275940000,8.851480000,515.2,0.9,4.326,1.34,,
T,48.275950000,8.851490000,515.2,0.7,4.328,1.34,,
T,48.275970000,8.851490000,515.2,-1.2,4.330,2.22,,
T,48.275990000,8.851490000,515.2,-1.2,4.332,2.22,,
T,48.276020000,8.851480000,515.1,-1.5,4.335,3.42,,
T,48.276030000,8.851470000,515.1,-1.7,4.337,1.34,,
T,48.276050000,8.851460000,515.1,-1.2,4.339,2.34,,
T,48.276050000,8.851450000,515.0,-1.1,4.340,0.74,,
T,48.276060000,8.851440000,515.0,-1.0,4.341,1.34,,
