type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,48.273500000,8.849600000,519.8,-6.7,1.241,0.74,,
T,48.273510000,8.849600000,519.7,-11.2,1.242,1.11,,
T,48.273520000,8.849600000,519.6,-11.2,1.243,1.11,,
T,48.273530000,8.849590000,519.5,-5.8,1.244,1.34,,
T,48.273540000,8.849590000,519.4,-11.2,1.246,1.11,,
T,48.273550000,8.849580000,519.3,-6.1,1.247,1.34,,
T,48.273560000,8.849580000,519.2,-11.4,1.248,1.11,,
T,48.273560000,8.849570000,519.2,5.8,1.249,0.74,,
T,48.273560000,8.849560000,519.2,5.7,1.249,0.74,,
T,48.273570000,8.849560000,519.1,-11.6,1.251,1.11,,
T,48.273570000,8.849550000,519.2,5.7,1.251,0.74,,
T,48.273570000,8.849540000,519.2,5.5,1.252,0.74,,
T,48.273580000,8.849540000,519.1,-11.9,1.253,1.11,,
T,48.273580000,8.849530000,519.1,5.5,1.254,0.74,,
T,48.273670000,8.849610000,518.3,-6.8,1.266,11.64,,
T,48.274020000,8.849910000,518.0,-0.7,1.310,44.84,,
T,48.274520000,8.850290000,516.7,-2.1,1.373,62.34,,
T,48.274730000,8.850380000,515.6,-4.6,1.397,24.29,,
T,48.274780000,8.850400000,515.4,-4.4,1.403,5.75,,
T,48.274870000,8.850440000,514.9,-4.5,1.413,10.44,,
T,48.275060000,8.850510000,514.1,-3.5,1.435,21.76,,
T,48.275270000,8.850540000,514.0,-0.5,1.458,23.46,,
T,48.275480000,8.850590000,514.0,-0.2,1.482,23.64,,
T,48.275610000,8.850670000,514.0,0.2,1.498,15.63,,
T,48.275890000,8.851030000,514.2,0.5,1.539,41.03,,
T,48.275920000,8.851150000,514.4,2.1,1.548,9.51,,
T,48.275920000,8.851190000,514.5,3.3,1.551,2.97,,
T,48.275920000,8.851200000,514.5,3.4,1.552,0.74,,
T,48.275930000,8.851270000,514.7,3.6,1.557,5.31,,
T,48.275930000,8.851270000,514.7,,1.557,0.00,,
T,48.275910000,8.851300000,514.8,1.5,1.560,3.15,,
T,48.275900000,8.851330000,514.8,2.9,1.563,2.49,,
