type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
"W,48.279394400,8.850950700,514.8,,,,""48.2793944,8.8509507"",""Balingen, 72336 Balingen, Deutschland"""
"W,48.279450000,8.850716000,513.6,,,,""Bahnhof/Busbahnhof, Balingen"","

type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
"T,48.279390000,8.850950000,514.8,,0.000,,""Balingen - Bahnhof/Busbahnhof, Balingen"",""10.3 km, 0:23"""
T,48.275310000,8.864180000,534.8,3.8,2.529,40.13,,
T,48.275520000,8.864400000,534.8,0.0,2.557,28.49,,
T,48.275890000,8.864800000,534.4,-0.8,2.608,50.74,,
T,48.276130000,8.865150000,536.6,5.9,2.645,37.24,,
T,48.276240000,8.865370000,538.2,7.6,2.666,20.40,,
T,48.276650000,8.866260000,542.7,5.7,2.746,80.27,,
T,48.276960000,8.866930000,544.8,3.5,2.806,60.51,,
T,48.276960000,8.866930000,544.8,,2.806,0.00,,
T,48.276880000,8.867020000,545.6,7.1,2.818,11.12,,
T,48.276790000,8.867060000,546.4,7.7,2.828,10.44,,
T,48.276730000,8.867070000,546.9,7.3,2.835,6.71,,
T,48.276530000,8.866990000,549.0,8.8,2.858,23.02,,
T,48.276290000,8.866910000,551.8,10.5,2.885,27.34,,
T,48.275940000,8.866800000,553.6,4.4,2.925,39.77,,
T,48.275590000,8.866760000,554.0,1.0,2.964,39.03,,
T,48.275180000,8.866780000,556.4,5.4,3.010,45.61,,
T,48.274890000,8.866820000,557.1,2.1,3.042,32.38,,
T,48.274870000,8.866830000,557.2,3.1,3.044,2.34,,
T,48.274570000,8.866930000,558.4,3.6,3.078,34.17,,
T,48.274140000,8.867080000,561.0,5.3,3.128,49.09,,
T,48.274000000,8.867130000,561.5,3.2,3.144,16.00,,
T,48.273920000,8.867150000,561.7,2.0,3.153,9.02,,
T,48.273580000,8.867270000,563.4,4.4,3.191,38.84,,
T,48.272690000,8.867640000,565.7,2.2,3.294,102.70,,
T,48.272630000,8.867680000,565.6,-0.8,3.301,7.30,,
T,48.272590000,8.867750000,565.9,3.5,3.308,6.84,,
T,48.272500000,8.867910000,566.0,0.9,3.324,15.53,,
T,48.272430000,8.868150000,565.2,-3.9,3.343,19.44,,
T,48.272430000,8.868300000,565.2,0.0,3.354,11.13,,
T,48.272420000,8.868410000,565.3,1.1,3.363,8.24,,
T,48.272450000,8.868670000,566.2,4.6,3.382,19.59,,
T,48.272450000,8.868670000,566.2,,3.382,0.00,,
T,48.273050000,8.868520000,571.0,7.0,3.450,67.64,,
T,48.273080000,8.868520000,571.2,8.6,3.453,3.34,,
T,48.273250000,8.868510000,572.8,8.3,3.472,18.92,,
T,48.273370000,8.868500000,573.5,4.9,3.485,13.36,,
T,48.273610000,8.868550000,572.8,-2.5,3.512,26.94,,
T,48.273960000,8.868690000,572.4,-1.0,3.553,40.28,,
T,48.274480000,8.868920000,573.5,1.8,3.613,60.29,,
T,48.274650000,8.869000000,574.6,6.0,3.633,19.81,,
T,48.274880000,8.869130000,574.7,0.1,3.660,27.33,,
T,48.275000000,8.869280000,574.8,0.8,3.677,17.38,,
T,48.275090000,8.869490000,576.3,8.2,3.696,18.52,,
T,48.275110000,8.869620000,577.3,9.5,3.706,9.90,,
T,48.275110000,8.869620000,577.3,,3.706,0.00,,
T,48.275120000,8.869760000,578.2,8.5,3.716,10.45,,
T,48.275100000,8.870160000,579.9,5.7,3.746,29.77,,
T,48.275070000,8.870610000,580.9,3.1,3.780,33.57,,
T,48.275020000,8.871180000,582.9,4.6,3.822,42.67,,
T,48.274960000,8.872150000,582.9,0.1,3.895,72.31,,
T,48.274940000,8.872500000,583.4,2.0,3.921,26.07,,
T,48.274910000,8.873040000,584.3,2.2,3.961,40.22,,
T,48.274900000,8.873150000,584.2,-1.0,3.969,8.24,,
T,48.274880000,8.873640000,584.5,0.7,4.006,36.44,,
T,48.274880000,8.873690000,584.4,-2.7,4.009,3.71,,
T,48.274890000,8.873800000,584.2,-2.6,4.018,8.24,,
T,48.274900000,8.874100000,583.2,-4.3,4.040,22.30,,
