type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,49.009730000,8.358150000,116.7,-2.1,4.313,6.95,,
T,49.009740000,8.358220000,116.4,-4.8,4.318,5.24,,
T,49.009760000,8.358370000,115.8,-5.8,4.330,11.20,,
T,49.009780000,8.358510000,114.9,-8.5,4.340,10.48,,
T,49.009800000,8.358680000,113.9,-8.0,4.353,12.63,,
T,49.009800000,8.358770000,113.3,-8.5,4.359,6.58,,
T,49.009800000,8.358860000,112.7,-8.5,4.366,6.58,,
T,49.009800000,8.358960000,113.0,3.6,4.373,7.32,,
T,49.009770000,8.359090000,113.7,6.6,4.383,10.08,,
T,49.009750000,8.359150000,114.0,6.5,4.388,4.92,,
T,49.009740000,8.359200000,114.5,14.4,4.392,3.82,,
T,49.009730000,8.359230000,114.9,16.2,4.395,2.46,,
T,49.009710000,8.359270000,115.4,12.2,4.398,3.68,,
T,49.009690000,8.359300000,115.6,7.9,4.401,3.12,,
T,49.009680000,8.359330000,116.0,13.3,4.404,2.46,,
T,49.009650000,8.359360000,116.1,3.1,4.408,3.99,,
T,49.009630000,8.359390000,116.3,6.5,4.411,3.12,,
T,49.009610000,8.359420000,116.5,6.0,4.414,3.12,,
T,49.009570000,8.359460000,116.5,-0.1,4.419,5.32,,
T,49.009530000,8.359490000,116.3,-4.4,4.424,4.96,,
T,49.009490000,8.359510000,116.0,-6.2,4.429,4.68,,
T,49.009450000,8.359530000,115.7,-6.2,4.434,4.68,,
T,49.009440000,8.359530000,115.6,-10.6,4.435,1.11,,
T,49.009340000,8.359540000,114.3,-11.3,4.446,11.15,,
T,49.009250000,8.359530000,113.1,-12.1,4.456,10.04,,
T,49.009180000,8.359500000,112.2,-11.4,4.464,8.09,,
T,49.009140000,8.359470000,111.8,-7.2,4.469,4.96,,
T,49.009090000,8.359430000,111.4,-6.1,4.475,6.28,,
T,49.009060000,8.359390000,111.2,-5.4,4.480,4.44,,
T,49.009030000,8.359360000,111.0,-4.4,4.484,3.99,,
T,49.009010000,8.359330000,110.9,-2.8,4.487,3.12,,
T,49.008990000,8.359300000,110.9,-1.8,4.490,3.12,,
T,49.008970000,8.359260000,110.9,-0.2,4.494,3.68,,
T,49.008960000,8.359230000,110.9,1.2,4.496,2.46,,
T,49.008940000,8.359190000,110.9,1.6,4.500,3.68,,
T,49.008920000,8.359130000,111.0,1.1,4.505,4.92,,
T,49.008910000,8.359080000,111.0,0.0,4.509,3.82,,
T,49.008900000,8.359040000,111.0,0.0,4.512,3.13,,
T,49.008890000,8.358980000,111.0,0.0,4.516,4.53,,
T,49.008880000,8.358920000,111.1,1.4,4.521,4.53,,
T,49.008880000,8.358860000,111.1,0.0,4.525,4.39,,
T,49.008880000,8.358790000,111.1,0.0,4.530,5.12,,
T,49.008880000,8.358730000,111.1,0.0,4.535,4.39,,
T,49.008880000,8.358680000,111.1,0.0,4.538,3.66,,
T,49.008880000,8.358600000,111.1,0.0,4.544,5.85,,
T,49.008870000,8.358540000,111.1,1.6,4.549,4.53,,
T,49.008850000,8.358420000,111.3,1.6,4.558,9.06,,
T,49.008870000,8.358290000,111.1,-1.4,4.568,9.77,,
T,49.008930000,8.357950000,111.4,0.9,4.593,25.75,,
T,49.008980000,8.357700000,112.5,5.7,4.612,19.12,,
T,49.009010000,8.357570000,113.2,7.0,4.622,10.08,,
T,49.009040000,8.357390000,113.5,2.1,4.636,13.58,,
T,49.009090000,8.357200000,113.2,-1.6,4.651,14.97,,
T,49.009140000,8.357030000,112.5,-5.5,4.665,13.62,,
T,49.009220000,8.356750000,112.2,-1.2,4.687,22.33,,
T,49.009290000,8.356570000,112.3,0.6,4.702,15.30,,
T,49.009340000,8.356430000,112.1,-1.7,4.714,11.65,,
T,49.009430000,8.356230000,111.5,-3.6,4.732,17.73,,
T,49.009540000,8.356020000,111.6,0.6,4.751,19.64,,
T,49.009640000,8.355820000,111.8,1.0,4.770,18.38,,
T,49.009800000,8.355530000,113.6,6.5,4.797,27.69,,
T,49.009950000,8.355300000,114.6,4.6,4.821,23.69,,
T,49.010030000,8.355200000,115.3,5.9,4.833,11.52,,
T,49.010120000,8.355090000,116.3,7.6,4.845,12.84,,
T,49.010180000,8.355010000,116.9,7.3,4.854,8.88,,
T,49.010290000,8.354880000,116.7,-1.8,4.870,15.50,,
T,49.010370000,8.354780000,115.3,-11.9,4.881,11.52,,
T,49.010510000,8.354630000,113.3,-10.6,4.900,19.05,,
T,49.010710000,8.354440000,111.5,-6.6,4.927,26.23,,
T,49.011040000,8.354170000,113.2,4.1,4.968,41.68,,
T,49.011040000,8.354170000,113.2,,4.968,0.00,,
T,49.011130000,8.354180000,114.1,8.3,4.978,10.04,,
T,49.011190000,8.354160000,114.3,3.4,4.985,6.83,,
T,49.011240000,8.354130000,114.5,3.0,4.991,5.98,,
T,49.011320000,8.354100000,114.6,1.7,5.000,9.16,,
T,49.011390000,8.354060000,114.6,-0.3,5.009,8.32,,
T,49.011480000,8.354020000,114.0,-6.1,5.019,10.43,,
T,49.011540000,8.354000000,113.5,-6.5,5.026,6.83,,
T,49.011560000,8.353990000,113.4,-7.4,5.028,2.34,,
T,49.011600000,8.353980000,113.1,-6.6,5.033,4.51,,
T,49.011650000,8.353950000,112.5,-8.5,5.039,5.98,,
T,49.011690000,8.353940000,112.4,-3.6,5.043,4.51,,
T,49.011730000,8.353920000,112.2,-2.8,5.048,4.68,,
T,49.011760000,8.353910000,112.2,-2.1,5.051,3.42,,
T,49.011860000,8.353860000,111.7,-4.2,5.063,11.71,,
T,49.011900000,8.353840000,111.5,-4.6,5.068,4.68,,
T,49.011960000,8.353810000,111.1,-5.2,5.075,7.02,,
T,49.012010000,8.353780000,110.7,-7.1,5.081,5.98,,
